"number","title","labels"
"4253","feat(build-study-designer): Step 3 ΓÇö Handle submission edge cases","enhancement, qa, validation, scope: frontend, type: feature, blocked, status: blocked"
"4252","feat(build-study-designer): Step 2 ΓÇö Apply permission and study-scope gating in `EcrfView.vue`",""
"4251","feat(build-study-designer): Step 1 ΓÇö Confirm and consume auth-store permission helpers",""
"4250","feat(build-study-designer): Step 4 ΓÇö Consistency and verification","enhancement, qa, validation, testing, security, api, dependencies, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4249","feat(build-study-designer): Step 3 ΓÇö Inject tenant and scope headers in the shared request function","enhancement, security, api, integration, requirements, dependencies, child, type: feature, blocked, priority: medium, status: blocked"
"4248","feat(build-study-designer): Step 2 ΓÇö Consistency and verification","enhancement, qa, validation, testing, security, integration, dependencies, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4247","feat(build-study-designer): Step 1 ΓÇö Inject tenant and scope headers in the shared request function","enhancement, security, api, requirements, child, scope: frontend, type: feature, area: frontend"
"4245","Task: Create the Knowledge and Support Hub implementation backlog","type: feature, blocked, priority: high, wayfinder:task"
"4244","Task: Write the Knowledge and Support Hub feature specification","type: feature, blocked, scope: documentation, priority: high, wayfinder:task"
"4243","Grilling: Article search implementation for the Knowledge Hub","api, scope: backend, type: feature, blocked, wayfinder:grilling"
"4242","Grilling: Contextual help mapping model and frontend integration","scope: backend, scope: frontend, type: feature, blocked, wayfinder:grilling"
"4241","Grilling: REST API contract and gateway integration for apps/knowledge/","api, architecture, scope: backend, type: feature, blocked, wayfinder:grilling"
"4240","Grilling: DB schema and data model for apps/knowledge/","architecture, scope: backend, type: feature, blocked, wayfinder:grilling"
"4239","Grilling: Notification and alert system for the Knowledge Hub","scope: backend, scope: frontend, type: feature, wayfinder:grilling"
"4238","Grilling: Support ticket routing, SLA model, and resolution workflow","21CFR11, scope: backend, type: feature, wayfinder:grilling"
"4234","Wayfinder: Unified GxP-Compliant Knowledge & Support Hub","architecture, Parent, type: feature, wayfinder:map"
"4233","feat(build-study-designer): Step 6 ΓÇö Add permission and scope getters to the auth store",""
"4232","feat(build-study-designer): Step 5 ΓÇö Extend the auth store with tenant and scope state","enhancement, security, api, dependencies, child, type: feature, blocked, status: blocked"
"4231","feat(build-study-designer): Step 4 ΓÇö Create the shared frontend authorization module",""
"4230","feat(build-study-designer): Step 3 ΓÇö Add permission and scope getters to the auth store","enhancement, qa, security, dependencies, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4229","feat(build-study-designer): Step 2 ΓÇö Extend the auth store with tenant and scope state","enhancement, security, api, dependencies, child, type: feature, blocked, status: blocked"
"4228","feat(build-study-designer): Step 1 ΓÇö Create the shared frontend authorization module",""
"4227","feat(build-study-designer): Phase 8 ΓÇö Extend tests for tenant and permission behavior","enhancement, qa, validation, testing, security, api, child, scope: frontend, type: feature, blocked, status: blocked"
"4226","feat(build-study-designer): Phase 7 ΓÇö Apply permission gating in the eCRF/Study Designer view",""
"4225","feat(build-study-designer): Phase 6 ΓÇö Propagate tenant and scope headers through the gateway client","enhancement, security, api, integration, requirements, dependencies, child, type: feature, blocked, priority: medium, status: blocked"
"4224","feat(build-study-designer): Phase 5 ΓÇö Add tenant and permission context to the SPA auth layer","enhancement, security, dependencies, child, type: feature, blocked, status: blocked"
"4223","feat(build-study-designer): Phase 4 ΓÇö Extend tests for tenant and permission behavior","enhancement, qa, validation, testing, security, api, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4222","feat(build-study-designer): Phase 3 ΓÇö Apply permission gating in the eCRF/Study Designer view",""
"4221","feat(build-study-designer): Phase 2 ΓÇö Propagate tenant and scope headers through the gateway client","enhancement, security, api, integration, requirements, dependencies, child, type: feature, blocked, priority: medium, status: blocked"
"4220","feat(build-study-designer): Phase 1 ΓÇö Add tenant and permission context to the SPA auth layer","enhancement, security, requirements, child, scope: frontend, type: feature, area: frontend"
"4219","feat(setup-vue-3): Step 4 ΓÇö Add tenant propagation and gateway client contract tests","enhancement, security, api, integration, architecture, dependencies, Parent, child, scope: frontend, type: feature, blocked, status: blocked, area: frontend"
"4218","feat(setup-vue-3): Step 3 ΓÇö Harden auth store test coverage","enhancement, qa, validation, testing, child, scope: frontend, type: feature, blocked, priority: medium, area: frontend"
"4217","feat(setup-vue-3): Step 2 ΓÇö Add tenant propagation and gateway client contract tests","enhancement, qa, validation, testing, security, api, integration, dependencies, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked"
"4216","feat(setup-vue-3): Step 1 ΓÇö Harden auth store test coverage","enhancement, qa, validation, testing, scope: frontend, type: feature, priority: medium, area: frontend"
"4215","feat(setup-vue-3): Step 4 ΓÇö Enforce the forbidden-header contract and add test coverage","enhancement, qa, validation, testing, security, compliance, api, integration, requirements, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4214","feat(setup-vue-3): Step 3 ΓÇö Store and propagate tenant context","enhancement, security, api, integration, requirements, dependencies, child, scope: frontend, type: feature, blocked, status: blocked, area: frontend"
"4213","feat(setup-vue-3): Step 2 ΓÇö Enforce the forbidden-header contract and add test coverage","enhancement, qa, security, compliance, api, dependencies, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked"
"4212","feat(setup-vue-3): Step 1 ΓÇö Store and propagate tenant context","enhancement, security, api, requirements, child, scope: frontend, type: feature, area: frontend"
"4211","feat(setup-vue-3): Step 4 ΓÇö Configuration documentation and dependency confirmation","enhancement, qa, validation, testing, security, api, integration, architecture, requirements, dependencies, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked"
"4210","feat(setup-vue-3): Step 3 ΓÇö Wire automatic token refresh","enhancement, qa, testing, dependencies, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4209","feat(setup-vue-3): Step 2 ΓÇö Configuration documentation and dependency confirmation","enhancement, dependencies, child, scope: frontend, type: feature, blocked, status: blocked"
"4208","feat(setup-vue-3): Step 1 ΓÇö Wire automatic token refresh",""
"4207","feat(setup-vue-3): Step 6 ΓÇö tenant-header and forbidden-header assertions","enhancement, qa, validation, testing, security, compliance, api, scope: frontend, type: feature, blocked, status: blocked"
"4206","feat(setup-vue-3): Step 5 ΓÇö token-refresh tests and Keycloak boundary mock","enhancement, qa, validation, testing, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4205","feat(setup-vue-3): Step 4 ΓÇö Add tenant derivation and X-Tenant-Id emission","enhancement, security, api, integration, dependencies, child, scope: frontend, type: feature, blocked, status: blocked, area: frontend"
"4204","feat(setup-vue-3): Step 3 ΓÇö tenant-header and forbidden-header assertions","enhancement, qa, validation, testing, security, api, dependencies, child, scope: frontend, type: feature, blocked, status: blocked, area: frontend"
"4203","feat(setup-vue-3): Step 2 ΓÇö token-refresh tests and Keycloak boundary mock","enhancement, qa, validation, testing, security, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4202","feat(setup-vue-3): Step 1 ΓÇö Add tenant derivation and X-Tenant-Id emission","enhancement, security, api, requirements, child, scope: frontend, type: feature, area: frontend"
"4199","feat(setup-vue-3): Step 8 ΓÇö Tests","enhancement, qa, validation, testing, security, compliance, api, integration, architecture, requirements, dependencies, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4198","feat(setup-vue-3): Step 7 ΓÇö Forbidden-header contract verification",""
"4197","feat(setup-vue-3): Step 6 ΓÇö Tenant header propagation through the API client","enhancement, security, api, integration, requirements, dependencies, child, type: feature, blocked, priority: medium, status: blocked"
"4196","feat(setup-vue-3): Step 5 ΓÇö Tenant context in the auth store","enhancement, security, dependencies, Parent, child, scope: frontend, type: feature, blocked, status: blocked, area: frontend"
"4195","feat(setup-vue-3): Step 4 ΓÇö Tests","enhancement, security, api, integration, architecture, dependencies, child, scope: frontend, type: feature, blocked, status: blocked, area: frontend"
"4194","feat(setup-vue-3): Step 3 ΓÇö Forbidden-header contract verification",""
"4193","feat(setup-vue-3): Step 2 ΓÇö Tenant header propagation through the API client",""
"4192","feat(setup-vue-3): Step 1 ΓÇö Tenant context in the auth store","enhancement, security, requirements, child, scope: frontend, type: feature, area: frontend"
"4136","feat(build-structured-usdm): Phase 4 ΓÇö Frontend data, API, and auth-scope foundations","enhancement, security, api, integration, architecture, requirements, dependencies, child, scope: frontend, type: feature, blocked, priority: medium, status: blocked, area: frontend"
"4135","feat(build-structured-usdm): Phase 3 ΓÇö Routing, tests, and documentation","documentation, enhancement, testing, security, compliance, 21CFR11, cdisc, interoperability, api, integration, architecture, requirements, dependencies, child, type: feature, blocked"
"4134","feat(build-structured-usdm): Phase 2 ΓÇö Structured authoring editor UI","enhancement, security, compliance, 21CFR11, cdisc, interoperability, api, integration, architecture, requirements, dependencies, child, scope: frontend, type: feature, blocked, status: blocked, area: frontend"
"4133","feat(build-structured-usdm): Phase 1 ΓÇö Frontend data, API, and auth-scope foundations","enhancement, security, cdisc, api, integration, architecture, child, scope: frontend, type: feature, area: frontend"
"4132","feat(export-annotated-crf): Step 6 ΓÇö Tests and GxP traceability","documentation, qa, validation, testing, security, compliance, 21CFR11, cdisc, requirements"
"4131","feat(export-annotated-crf): Step 5 ΓÇö Frontend export options","enhancement, cdisc, interoperability, api, integration, prd, scope: backend, type: feature, area: backend"
"4130","feat(export-annotated-crf): Step 4 ΓÇö RBAC permissions and router wiring","enhancement, security, compliance, cdisc, api, Parent, child, scope: backend, type: feature, blocked, area: backend"
"4129","feat(export-annotated-crf): Step 3 ΓÇö Tests and GxP traceability","documentation, enhancement, qa, validation, testing, security, compliance, 21CFR11, cdisc, interoperability, api, integration, prd, requirements, child, blocked, area: backend"
"4128","feat(export-annotated-crf): Step 2 ΓÇö Frontend export options","enhancement"
"4127","feat(export-annotated-crf): Step 1 ΓÇö RBAC permissions and router wiring","enhancement, security, compliance, cdisc, api, child, scope: backend, type: feature, area: backend"
"4126","feat(export-annotated-crf): Step 6 ΓÇö Define-XML export endpoint and wizard option","documentation, enhancement, qa, validation, testing, security, compliance, 21CFR11, cdisc, interoperability, api, integration, architecture, tdd, prd, requirements, Parent, child, scope: backend, type: feature, blocked, status: blocked, area: backend, L0"
"4125","feat(export-annotated-crf): Step 5 ΓÇö Define-XML structural validator","documentation, enhancement, qa, validation, security, compliance, 21CFR11, cdisc, interoperability, architecture, requirements, scope: backend, type: feature, blocked, priority: high, status: blocked, area: backend"
"4124","feat(export-annotated-crf): Step 4 ΓÇö Define-XML serialization core","enhancement, validation, security, compliance, 21CFR11, cdisc, interoperability, architecture, requirements, dependencies, child, scope: backend, type: feature, blocked, status: blocked"
"4123","feat(export-annotated-crf): Step 3 ΓÇö Define-XML export endpoint and wizard option","documentation, enhancement, qa, validation, testing, security, compliance, cdisc, interoperability, api, integration, architecture, tdd, prd, requirements, dependencies, Parent, child, scope: backend, type: feature, status: blocked, area: backend"
"4122","feat(export-annotated-crf): Step 2 ΓÇö Define-XML structural validator","enhancement, validation, security, compliance, cdisc, interoperability, architecture, requirements, Parent, child, scope: backend, type: feature, blocked, priority: high, status: blocked, area: backend, L0"
"4121","feat(export-annotated-crf): Step 1 ΓÇö Define-XML serialization core","enhancement, validation, security, compliance, 21CFR11, cdisc, interoperability, architecture, requirements, dependencies, Parent, child, scope: backend, type: feature"
"4120","feat(export-annotated-crf): Step 6 ΓÇö Expose the aCRF export endpoint","enhancement, testing, security, compliance, 21CFR11, cdisc, api, architecture, requirements, dependencies, child, scope: backend, type: feature, blocked, area: backend"
"4119","feat(export-annotated-crf): Step 5 ΓÇö Render the annotated CRF to PDF","enhancement, compliance, 21CFR11, cdisc, interoperability, architecture, requirements, dependencies, child, scope: backend, type: feature, blocked, priority: medium, status: blocked, area: backend"
"4118","feat(export-annotated-crf): Step 4 ΓÇö Model and assemble the annotated CRF document","enhancement, validation, compliance, 21CFR11, cdisc, interoperability, integration, architecture, requirements, dependencies, Parent, child, scope: backend, type: feature, blocked, status: blocked"
"4117","feat(export-annotated-crf): Step 3 ΓÇö Expose the aCRF export endpoint","documentation, enhancement, qa, validation, testing, security, compliance, 21CFR11, cdisc, interoperability, api, integration, architecture, tdd, prd, requirements, dependencies, Parent, child, scope: backend, type: feature, blocked, priority: high, priority: medium, status: blocked, status: in-progress, L0"
"4116","feat(export-annotated-crf): Step 2 ΓÇö Render the annotated CRF to PDF","enhancement, compliance, 21CFR11, cdisc, interoperability, architecture, requirements, child, scope: backend, type: feature, blocked, priority: high, status: blocked"
"4115","feat(export-annotated-crf): Step 1 ΓÇö Model and assemble the annotated CRF document","enhancement, compliance, 21CFR11, cdisc, architecture, scope: backend, type: feature"
"4114","feat(export-annotated-crf): Step 2 ΓÇö Add the crf_export RBAC resource","enhancement, security, blocked"
"4113","feat(export-annotated-crf): Step 1 ΓÇö Add the crf_export RBAC resource","enhancement, security, compliance, child, scope: backend, type: feature, area: backend"
"4112","feat(export-annotated-crf): Step 8 ΓÇö Tests","enhancement, qa, validation, testing, security, compliance, 21CFR11, cdisc, interoperability, api, integration, Parent, child, scope: backend, type: feature, blocked, status: blocked, area: backend"
"4111","feat(export-annotated-crf): Step 7 ΓÇö Define-XML export endpoint and schema","enhancement, qa, validation, testing, security, compliance, 21CFR11, cdisc, interoperability, api, integration, architecture, requirements, dependencies, child, scope: backend, type: feature, blocked, priority: medium, area: backend, L0"
"4110","feat(export-annotated-crf): Step 6 ΓÇö Define-XML structural validator","documentation, enhancement, qa, validation, testing, security, compliance, cdisc, interoperability, api, integration, architecture, tdd, prd, requirements, dependencies, Parent, child, scope: backend, type: feature, blocked, priority: high, priority: medium, status: blocked, status: in-progress, area: backend, L0"
"4109","feat(export-annotated-crf): Step 5 ΓÇö Define-XML serializer and metadata derivation","enhancement, validation, testing, security, compliance, 21CFR11, cdisc, interoperability, architecture, dependencies, child, scope: backend, type: feature, blocked"
"4108","feat(export-annotated-crf): Step 4 ΓÇö Tests","enhancement, qa, validation, testing, compliance, cdisc, interoperability, api, integration, tdd, child, scope: backend, type: feature, blocked"
"4107","feat(export-annotated-crf): Step 3 ΓÇö Define-XML export endpoint and schema","documentation, enhancement, qa, validation, testing, security, compliance, 21CFR11, cdisc, interoperability, api, integration, architecture, tdd, prd, requirements, dependencies, Parent, child, scope: backend, type: feature, priority: high, status: blocked, status: in-progress, area: backend, L0"
"4106","feat(export-annotated-crf): Step 2 ΓÇö Define-XML structural validator","enhancement, validation, testing, cdisc, requirements, child, scope: backend, type: feature, blocked"
"4105","feat(export-annotated-crf): Step 1 ΓÇö Define-XML serializer and metadata derivation","enhancement, validation, security, compliance, 21CFR11, cdisc, interoperability, architecture, requirements, dependencies, scope: backend, type: feature"
"4104","Bug: aCRF exports",""
"4081","08: [Platform / Demo] Top-Bar Persona Switching, Golden Path Walkthrough & GxP Verification","enhancement, type: feature, ready-for-agent"
"4080","07: [Data Manager & Auditor] 21 CFR Part 11 Audit Trail, Medical Coding & Dataset Exports","enhancement, type: feature, ready-for-agent"
"4079","06: [CRA Monitor] CTMS Monitoring Console, SDV Toggles & Query Discrepancy Lifecycle","enhancement, type: feature, ready-for-agent"
"4078","05: [Site CRC] Dynamic Subject Enrollment & eCRF Visit Execution with Edit Checks","enhancement, type: feature, ready-for-agent"
"3570","quality: complete and record the paused PR #3552 verification suite","priority: critical"
"3569","backend: retire Python 3.14, FastAPI, Pydantic v2, Starlette, and UTC deprecation warnings","priority: critical"
"3568","frontend: eliminate and ratchet the Vue/ESLint warning backlog","priority: critical"
"3566","security: make detect-secrets fast and source-aware for the checked-in CDISC corpus","priority: critical"
"3478","feat(build-usdm-json): Step 3 ΓÇö Add GxP audit fields to the USDM model layer",""
"3189","Phase 4: Builder Module Integration (`apps/web`)","enhancement, security, api, integration, architecture, scope: frontend, type: feature, priority: medium, area: frontend"
"3188","Phase 6: eConsent Mapping and Subject Portal Rendering","enhancement, security, compliance, integration, architecture, scope: backend, scope: frontend, type: feature, priority: medium, area: frontend, area: backend"
"3187","Phase 5: Execution Service Submission, Validation, and Compliance Hooks","enhancement, security, compliance, 21CFR11, api, integration, architecture, scope: backend, type: feature, priority: medium, area: backend"
"3186","Phase 3: Shared Render Module (`packages/ui`)","enhancement, security, integration, architecture, scope: frontend, type: feature, priority: medium, area: frontend"
"3184","Phase 2: Designer Service Backend (Schema CRUD, Versioning, Branching, Comments)","enhancement, security, compliance, 21CFR11, api, integration, architecture, scope: backend, type: feature, priority: medium, area: backend, L0"
"3183","Phase 1: Canonical Form Schema Contract and Field-Type Taxonomy","documentation, enhancement, security, compliance, 21CFR11, api, integration, architecture, scope: backend, scope: frontend, type: feature, priority: medium, area: frontend"
"3174","Visual eCRF Designer & Canvas Architecture Specifications","enhancement, security, compliance, 21CFR11, api, integration, architecture, scope: frontend, type: feature, priority: medium, area: frontend"
"2429","Post-Market Surveillance (Phase IV) Optimization","enhancement, compliance, 21CFR11, prd, requirements, type: feature, L0"
"2428","Smart Contracts for Site Payments","enhancement, compliance, 21CFR11, type: feature"
"2427","BYOD ePRO Validation Guardrails","enhancement, validation, compliance, 21CFR11, requirements, type: feature"
"2426","Dynamic eConsent with Knowledge Checks","enhancement, qa, validation, testing, security, compliance, 21CFR11, api, architecture, prd, requirements, scope: backend, type: feature"
"2425","Cross-Study Investigator & Site Master Graph","enhancement, compliance, 21CFR11, architecture, prd, requirements, type: feature"
"2424","Automated Cypher Traversal Testing","enhancement, compliance, 21CFR11, prd, requirements, scope: frontend, type: feature, area: frontend"
"2423","Continuous Validation & Automated OQ/PQ","documentation, enhancement, qa, validation, testing, compliance, 21CFR11, requirements, type: feature, L0"
"2422","Pharmacokinetic/Pharmacodynamic (PK/PD) Module","enhancement, compliance, 21CFR11, requirements, type: feature, L0"
"2421","Federated Machine Learning Infrastructure","enhancement, compliance, 21CFR11, type: feature"
"2420","Digital Biomarker Processing Pipeline","enhancement, compliance, 21CFR11, architecture, prd, requirements, scope: backend, type: feature, area: backend, L0"
"2419","Generative AI for Query Auto-Resolution","enhancement, compliance, 21CFR11, type: feature"
"2418","Automated Data Transfer Agreement (DTA) Execution","enhancement, compliance, 21CFR11, integration, requirements, type: feature"
"2417","Local Lab Normalization Engine","enhancement, compliance, 21CFR11, requirements, scope: backend, type: feature, area: backend"
"2416","Automated Dictionary Upboarding","enhancement, compliance, 21CFR11, architecture, requirements, type: feature"
"2415","Clinical Trial Diversity & Inclusion Analytics","enhancement, compliance, 21CFR11, requirements, type: feature, L0"
"2414","Blinded Data Review Meeting (BDRM) Workflows","enhancement, security, compliance, 21CFR11, requirements, type: feature, L0"
"2413","Sponsor-Level Cross-Trial Reporting","enhancement, compliance, 21CFR11, prd, requirements, scope: frontend, type: feature, area: frontend, L0"
"2412","Protocol Deviation Management Engine","enhancement, compliance, 21CFR11, type: feature"
"2411","Graph-Native Anomaly Detection","enhancement, compliance, 21CFR11, prd, requirements, type: feature, L0"
"2410","eSource Direct Data Capture (DDC)","enhancement, compliance, 21CFR11, requirements, type: feature, L0"
"2409","Directed Acyclic Graph (DAG) Protocol Execution","enhancement, compliance, 21CFR11, architecture, prd, requirements, type: feature"
"2408","Visual Graph Exploration UI","enhancement, compliance, 21CFR11, architecture, prd, requirements, type: feature, L0"
"2407","Impact Analysis via Graph Traversal","enhancement, compliance, 21CFR11, architecture, prd, requirements, type: feature"
"2406","Clinical Terminology Knowledge Graph","enhancement, compliance, 21CFR11, interoperability, architecture, scope: frontend, type: feature, area: frontend"
"2405","Graph-Native Metadata Repository (MDR) Lineage","enhancement, compliance, 21CFR11, architecture, requirements, type: feature"
"2404","Micro-Frontend Architecture (MFE)","enhancement, architecture, requirements, scope: frontend, type: feature, area: frontend"
"2403","GraphQL API Federation","enhancement, compliance, 21CFR11, api, integration, architecture, prd, requirements, scope: backend, type: feature, area: backend"
"2402","TypeScript Graph Object Mapping & Cypher Generation","enhancement, type: feature, L0"
"2401","Centralized IAM & Identity Federation","enhancement, security, compliance, 21CFR11, integration, architecture, requirements, type: feature, L0"
"2400","Graph-Based RBAC & Identity Resolution","enhancement, security, compliance, 21CFR11, architecture, requirements, scope: backend, type: feature, area: backend, L0"
"2399","Cross-Study Data Pooling (ISS/ISE Preparation)","enhancement, compliance, 21CFR11, architecture, prd, requirements, type: feature, L0"
"2398","Automated System Release Notes & Training Matrix Updates","enhancement, compliance, 21CFR11, requirements, type: feature, L0"
"2397","Conflict of Interest (COI) & Financial Disclosure Management","enhancement, compliance, 21CFR11, requirements, type: feature"
"2396","Electronic Investigator Site File (eISF) Portal","enhancement, security, compliance, 21CFR11, api, integration, architecture, requirements, child, scope: backend, scope: frontend, type: feature, priority: medium, area: frontend, L0"
"2395","Master Data Management (MDM) for Investigator Registries","enhancement, compliance, 21CFR11, architecture, requirements, type: feature"
"2394","AI-Driven Centralized Statistical Monitoring (CSM)","enhancement, compliance, 21CFR11, type: feature, L0"
"2393","Vocal Biomarker & Audio eCOA Capture","enhancement, security, compliance, 21CFR11, requirements, type: feature, L0"
"2392","Chaos Engineering & Resiliency Testing","enhancement, qa, validation, testing, compliance, 21CFR11"
"2391","Zero-Trust Network Architecture (ZTNA)","enhancement, security, compliance, ISO-27001, architecture, requirements, type: feature, L0"
"2390","Distributed Database Sharding & Partitioning","enhancement, security, architecture, requirements, scope: backend, type: feature, area: backend, L0"
"2389","SMART on FHIR App Launch Framework","enhancement, security, compliance, 21CFR11, api, integration, architecture, prd, requirements, type: feature"
"2388","OMOP Common Data Model (CDM) Export","enhancement, compliance, interoperability, integration, requirements, scope: backend, type: feature, area: backend"
"2387","Registry & Long-Term Follow-Up (LTFU) Modules","enhancement, compliance, 21CFR11, integration, requirements, scope: backend, type: feature, priority: medium, area: backend, L0"
"2386","Real-World Data (RWD) Tokenization","enhancement, compliance, 21CFR11, prd, requirements, type: feature, L0"
"2385","Master Protocol Architecture (Basket & Umbrella Trials)","enhancement, compliance, 21CFR11, architecture, requirements, type: feature"
"2384","Pillar 12: Specialized Trial Designs & Real-World Evidence","enhancement, compliance, 21CFR11, requirements, type: feature, L0"
"2383","Clinical Trial Forecasting & Financial Burn Tracking","enhancement, compliance, type: feature"
"2382","Site Budget Negotiation & Contracting Workflows","enhancement, compliance, 21CFR11, prd, requirements, type: feature"
"2381","Pillar 11: Enterprise Financials & Contracting","enhancement, compliance, prd, requirements, scope: frontend, type: feature, area: frontend"
"2380","Travel & Logistics Concierge Integration","enhancement, compliance, 21CFR11, integration, requirements, type: feature"
"2379","Retention Gamification & Adherence Nudging","enhancement, compliance, 21CFR11, type: feature"
"2378","Patient-Facing Portal & Return of Results","enhancement, compliance, 21CFR11, type: feature"
"2377","Pillar 10: Advanced Patient Engagement & Retention","enhancement, compliance, 21CFR11, prd, requirements, type: feature"
"2376","Integrated Helpdesk & User Ticketing","enhancement, type: feature, L0"
"2375","Data Subject Access Request (DSAR) Automation","enhancement, qa, validation, testing, security, compliance, 21CFR11, requirements, type: feature, priority: medium, area: backend"
"2374","PDF/A Archival Validation Engine","enhancement, validation, testing, compliance, 21CFR11, type: feature, L0"
"2373","Lab Kit Reconciliation & Destruction Logging","enhancement, compliance, 21CFR11, scope: frontend, type: feature, area: frontend"
"2372","Device Provisioning & Mobile Asset Management","enhancement, security, compliance, 21CFR11, prd, requirements, scope: frontend, type: feature, area: frontend"
"2371","BIMO (Bioresearch Monitoring) Data Package Compilation","enhancement, compliance, 21CFR11, type: feature, L0"
"2370","SAS XPT Transport File Generation","enhancement, compliance, 21CFR11, cdisc, interoperability, api, integration, type: feature, area: backend"
"2369","High-Throughput REST API Export Engine","enhancement, compliance, 21CFR11, interoperability, api, integration, architecture, requirements, scope: backend, type: feature, area: backend"
"2368","Targeted Source Data Verification (T-SDV) Engine","enhancement, compliance, 21CFR11, prd, requirements, scope: frontend, type: feature, area: frontend, L0"
"2367","Automated Medical Image Redaction","enhancement, security, compliance, 21CFR11, requirements, type: feature"
"2366","Side-by-Side Remote Source Data Review (RSDR)","enhancement, compliance, type: feature, L0"
"2365","E-Signature & Regional PKI Integrations","enhancement, security, compliance, 21CFR11, integration, architecture, requirements, scope: frontend, type: feature, area: frontend"
"2364","Patient Stipend & Expense Reimbursement","enhancement, testing, compliance, 21CFR11, prd, requirements, scope: backend, scope: frontend, type: feature, area: frontend, area: backend"
"2363","Native Barcode & QR Code Scanning","enhancement, compliance, 21CFR11, prd, requirements, scope: frontend, type: feature, area: frontend"
"2362","Reusable Edit Check & Logic Function Library","enhancement, validation, compliance, 21CFR11, architecture, requirements, type: feature, L0"
"2361","Cross-Study Impact Analysis Engine","enhancement, compliance, 21CFR11, architecture, prd, requirements, type: feature"
